"plant_id","type","type","present"
"4","ABES","Subshrub, Forb/herb","Forb/herb",1
"31","ABAL","Forb/herb","Forb/herb",1
"32","ABAM2","Forb/herb","Forb/herb",1
"33","ABAM3","Forb/herb","Forb/herb",1
"34","ABAN","Forb/herb","Forb/herb",1
"35","ABAR","Forb/herb","Forb/herb",1
"36","ABBI","Forb/herb","Forb/herb",1
"37","ABBO","Forb/herb","Forb/herb",1
"38","ABCA","Forb/herb","Forb/herb",1
"39","ABEL","Forb/herb","Forb/herb",1
"40","ABFR2","Forb/herb","Forb/herb",1
"41","ABGR2","Forb/herb","Forb/herb",1
"42","ABIN2","Forb/herb","Forb/herb",1
"43","ABLA2","Forb/herb","Forb/herb",1
"44","ABMA5","Forb/herb","Forb/herb",1
"45","ABMA2","Forb/herb","Forb/herb",1
"46","ABME","Forb/herb","Forb/herb",1
"47","ABMI2","Forb/herb","Forb/herb",1
"48","ABNA","Forb/herb","Forb/herb",1
"49","ABNAC","Forb/herb","Forb/herb",1
"50","ABNAH","Forb/herb","Forb/herb",1
"51","ABNAN","Forb/herb","Forb/herb",1
"52","ABNE","Forb/herb","Forb/herb",1
"53","ABPO","Forb/herb","Forb/herb",1
"54","ABTU","Forb/herb","Forb/herb",1
"55","ABUM","Forb/herb, Vine","Forb/herb",1
"56","ABUMB","Forb/herb, Vine","Forb/herb",1
"57","ABUMU","Forb/herb","Forb/herb",1
"58","ABVI","Forb/herb","Forb/herb",1
"59","ABVIA","Forb/herb","Forb/herb",1
"60","ABVIV","Forb/herb","Forb/herb",1
"64","ABAB","Subshrub, Forb/herb","Forb/herb",1
"70","ABHI","Subshrub, Forb/herb","Forb/herb",1
"71","ABHU","Subshrub, Forb/herb","Forb/herb",1
"73","ABIN","Subshrub, Forb/herb","Forb/herb",1
"75","ABMA3","Subshrub, Forb/herb","Forb/herb",1
"77","ABMO2","Subshrub, Shrub, Forb/herb","Forb/herb",1
