"plant_id","type"
"4","ABES","Forb/herb"
"31","ABAL","Forb/herb"
"32","ABAM2","Forb/herb"
"33","ABAM3","Forb/herb"
"34","ABAN","Forb/herb"
"35","ABAR","Forb/herb"
"36","ABBI","Forb/herb"
"37","ABBO","Forb/herb"
"38","ABCA","Forb/herb"
"39","ABEL","Forb/herb"
"40","ABFR2","Forb/herb"
"41","ABGR2","Forb/herb"
"42","ABIN2","Forb/herb"
"43","ABLA2","Forb/herb"
"44","ABMA5","Forb/herb"
"45","ABMA2","Forb/herb"
"46","ABME","Forb/herb"
"47","ABMI2","Forb/herb"
"48","ABNA","Forb/herb"
"49","ABNAC","Forb/herb"
"50","ABNAH","Forb/herb"
"51","ABNAN","Forb/herb"
"52","ABNE","Forb/herb"
"53","ABPO","Forb/herb"
"54","ABTU","Forb/herb"
"55","ABUM","Forb/herb"
"56","ABUMB","Forb/herb"
"57","ABUMU","Forb/herb"
"58","ABVI","Forb/herb"
"59","ABVIA","Forb/herb"
"60","ABVIV","Forb/herb"
"64","ABAB","Forb/herb"
"70","ABHI","Forb/herb"
"71","ABHU","Forb/herb"
"73","ABIN","Forb/herb"
"75","ABMA3","Forb/herb"
"77","ABMO2","Forb/herb"
"79","ABPA2","Forb/herb"
"80","ABPA3","Forb/herb"
"81","ABPE","Forb/herb"
"82","ABRE","Forb/herb"
"84","ABTH","Forb/herb"
"85","ABTH2","Forb/herb"
"87","ABWR","Forb/herb"
"111","ACEX","Forb/herb"
"112","ACNO7","Forb/herb"
"113","ACPA14","Forb/herb"
"114","ACPI3","Forb/herb"
"115","ACPIC2","Forb/herb"
"117","ACAL2","Forb/herb"
"118","ACAR16","Forb/herb"
"119","ACAU6","Forb/herb"
"121","ACCH2","Forb/herb"
"122","ACDE4","Forb/herb"
"123","ACGR2","Forb/herb"
"124","ACME7","Forb/herb"
"125","ACMO4","Forb/herb"
"126","ACMO","Forb/herb"
"127","ACNE","Forb/herb"
"128","ACOS","Forb/herb"
"129","ACPH3","Forb/herb"
"130","ACPO","Forb/herb"
"131","ACRA","Forb/herb"
"132","ACRH","Forb/herb"
"133","ACSE","Forb/herb"
"134","ACVI","Forb/herb"
"143","ACDU2","Forb/herb"
"144","ACIL","Forb/herb"
"145","ACLA2","Forb/herb"
"146","ACOB","Forb/herb"
"147","ACOBC","Forb/herb"
"148","ACOBO","Forb/herb"
"150","ACAU2","Forb/herb"
"151","ACHI","Forb/herb"
"152","ACHU","Forb/herb"
"154","ACMO8","Forb/herb"
"201","ACAG3","Forb/herb"
"202","ACDI6","Forb/herb"
"203","ACFI","Forb/herb"
"204","ACLI2","Forb/herb"
"205","ACMI2","Forb/herb"
"206","ACMIA","Forb/herb"
"207","ACMIA2","Forb/herb"
"208","ACMIB","Forb/herb"
"209","ACMIC","Forb/herb"
"210","ACMIG","Forb/herb"
"211","ACMIL2","Forb/herb"
"212","ACMIM2","Forb/herb"
"213","ACMIN","Forb/herb"
"214","ACMIO","Forb/herb"
"215","ACMIP","Forb/herb"
"216","ACMIP2","Forb/herb"
"217","ACNO","Forb/herb"
"218","ACPT","Forb/herb"
"219","ACSI","Forb/herb"
"221","ACCA6","Forb/herb"
"222","ACTR","Forb/herb"
"268","ACMO2","Forb/herb"
"270","ACAS","Forb/herb"
"271","ACASA","Forb/herb"
"272","ACASP","Forb/herb"
"273","ACJA","Forb/herb"
"274","ACJAH","Forb/herb"
"281","ACCO3","Forb/herb"
"283","ACTR2","Forb/herb"
"285","ACAR2","Forb/herb"
"287","ACAC","Forb/herb"
"288","ACAN2","Forb/herb"
"289","ACCR","Forb/herb"
"290","ACLO2","Forb/herb"
"291","ACOB2","Forb/herb"
"292","ACWR3","Forb/herb"
"294","ACDE5","Forb/herb"
"295","ACOP","Forb/herb"
"296","ACOPR","Forb/herb"
"297","ACPI4","Forb/herb"
"298","ACPU","Forb/herb"
"302","ACCO4","Forb/herb"
"303","ACCOC3","Forb/herb"
"304","ACCOV2","Forb/herb"
"305","ACDE2","Forb/herb"
"306","ACDEC","Forb/herb"
"307","ACDED3","Forb/herb"
"308","ACDEP","Forb/herb"
"309","ACIN2","Forb/herb"
"310","ACMA4","Forb/herb"
"311","ACNA","Forb/herb"
"312","ACNO2","Forb/herb"
"313","ACRE","Forb/herb"
"314","ACUN","Forb/herb"
"315","ACUNM","Forb/herb"
"316","ACUNU","Forb/herb"
"318","ACAM","Forb/herb"
"319","ACCA4","Forb/herb"
"321","ACMI3","Forb/herb"
"322","ACNA2","Forb/herb"
"323","ACRU3","Forb/herb"
"324","ACTH","Forb/herb"
"325","ACWR5","Forb/herb"
"331","ACRE3","Forb/herb"
"333","ACAU3","Forb/herb"
"334","ACDA","Forb/herb"
"336","ACAR18","Forb/herb"
"337","ACEL4","Forb/herb"
"338","ACLA12","Forb/herb"
"339","ACLU","Forb/herb"
"340","ACPA","Forb/herb"
"341","ACPO11","Forb/herb"
"342","ACRA7","Forb/herb"
"343","ACRAD","Forb/herb"
"344","ACRAR","Forb/herb"
"345","ACRU14","Forb/herb"
"346","ACRU2","Forb/herb"
"347","ACRUA8","Forb/herb"
"348","ACRUR2","Forb/herb"
"349","ACSP10","Forb/herb"
"360","ADBI","Forb/herb"
"362","ADAB2","Forb/herb"
"363","ADAB","Forb/herb"
"364","ADCA5","Forb/herb"
