"plant_id","name","us_state","pattern","type","color_flower","color_foliage","texture_foliage","color_fruit","shape"
"1","ABELI","Abelia","USA (FL, NC)","Dicot","","","","","",""
"2","ABGR4","Abelia ×grandiflora","USA (FL, NC)","Dicot","Shrub","Purple","Dark Green","Medium","Brown","Semi-Erect"
"3","ABELM","Abelmoschus","USA (CT, DC, FL, HI, IL, KY, LA, MD, MI, MS, NC, SC, VA), USA+ (PR, VI)","Dicot","","","","","",""
"4","ABES","Abelmoschus esculentus","USA (CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, SC, VA), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","",""
"5","ABMO","Abelmoschus moschatus","USA (HI), USA+ (PR)","Dicot","Subshrub, Shrub","","","","",""
"6","ABIES","Abies","USA (AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Gymnosperm","","","","","",""
"7","ABAL3","Abies alba","USA (NC)","Gymnosperm","Tree","","","","",""
"8","ABAM","Abies amabilis","USA (AK, CA, OR, WA), CAN (BC)","Gymnosperm","Tree","Yellow","Gray-Green","Medium","Brown","Erect"
"9","ABBA","Abies balsamea","USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Gymnosperm","Tree","Yellow","Green","Medium","Brown","Conical"
"10","ABBAB","Abies balsamea var. balsamea","USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Gymnosperm","Tree","","","","",""
"11","ABBAP","Abies balsamea var. phanerolepis","USA (ME, NH, VA, VT, WV), CAN (NB, NF, NS, ON, PE, QC)","Gymnosperm","Tree","","","","",""
"12","ABBR","Abies bracteata","USA (CA)","Gymnosperm","Tree","","","","",""
"13","ABCO","Abies concolor","USA (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)","Gymnosperm","Tree","Red","Green","Medium","Brown","Conical"
"14","ABFI","Abies firma","USA (NC)","Gymnosperm","Tree","","","","",""
"15","ABFR","Abies fraseri","USA (GA, NC, TN, VA)","Gymnosperm","Tree","Purple","Dark Green","Medium","Brown","Erect"
"16","ABGR","Abies grandis","USA (CA, ID, MT, OR, WA), CAN (BC)","Gymnosperm","Tree","","Green","Medium","Brown","Conical"
"17","ABHO","Abies homolepis","USA (NY)","Gymnosperm","Tree","","","","",""
"18","ABLA","Abies lasiocarpa","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Gymnosperm","Tree","","Green","Medium","Brown","Conical"
"19","ABLAA","Abies lasiocarpa var. arizonica","USA (AZ, CO, NM)","Gymnosperm","Tree","","","","",""
"20","ABLAL","Abies lasiocarpa var. lasiocarpa","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Gymnosperm","Tree","","","","",""
"21","ABLO","Abies lowiana","USA (CA, NV, OR)","Gymnosperm","Tree","","","","",""
"22","ABMA","Abies magnifica","USA (CA, NV, NY, OR)","Gymnosperm","Tree","Brown","Dark Green","Medium","Brown","Erect"
"23","ABMAM","Abies magnifica var. magnifica","USA (CA, OR)","Gymnosperm","Tree","","","","",""
"24","ABMAS","Abies magnifica var. shastensis","USA (CA, OR)","Gymnosperm","Tree","","","","",""
"25","ABPR","Abies procera","USA (CA, OR, WA)","Gymnosperm","Tree","","Dark Green","Medium","Purple","Erect"
"26","ABIET","Abietinella","USA (NJ)","Moss","","","","","",""
"27","ABAB70","Abietinella abietina","USA (NJ)","Moss","Nonvascular","","","","",""
"28","ABILD","Abildgaardia","USA (FL), USA+ (PR, VI)","Monocot","","","","","",""
"29","ABOV","Abildgaardia ovata","USA (FL), USA+ (PR, VI)","Monocot","Graminoid","","","","",""
"30","ABRON","Abronia","USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (BC)","Dicot","","","","","",""
"31","ABAL","Abronia alpina","USA (CA)","Dicot","Forb/herb","","","","",""
"32","ABAM2","Abronia ameliae","USA (TX)","Dicot","Forb/herb","","","","",""
"33","ABAM3","Abronia ammophila","USA (WY)","Dicot","Forb/herb","","","","",""
"34","ABAN","Abronia angustifolia","USA (AZ, NM, TX)","Dicot","Forb/herb","","","","",""
"35","ABAR","Abronia argillosa","USA (CO, UT)","Dicot","Forb/herb","","","","",""
"36","ABBI","Abronia bigelovii","USA (NM)","Dicot","Forb/herb","","","","",""
"37","ABBO","Abronia bolackii","USA (NM)","Dicot","Forb/herb","","","","",""
"38","ABCA","Abronia carletonii","USA (CO, NM, TX)","Dicot","Forb/herb","","","","",""
"39","ABEL","Abronia elliptica","USA (AZ, CO, NM, NV, UT, WY)","Dicot","Forb/herb","","","","",""
"40","ABFR2","Abronia fragrans","USA (AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)","Dicot","Forb/herb","","","","",""
"41","ABGR2","Abronia gracilis","USA (CA)","Dicot","Forb/herb","","","","",""
"42","ABIN2","Abronia insularis","USA (CA)","Dicot","Forb/herb","","","","",""
"43","ABLA2","Abronia latifolia","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","","","","",""
"44","ABMA5","Abronia macrocarpa","USA (TX)","Dicot","Forb/herb","","","","",""
"45","ABMA2","Abronia maritima","USA (CA)","Dicot","Forb/herb","","","","",""
"46","ABME","Abronia mellifera","USA (ID, OR, UT, WA, WY)","Dicot","Forb/herb","","","","",""
"47","ABMI2","Abronia minor","USA (CA)","Dicot","Forb/herb","","","","",""
"48","ABNA","Abronia nana","USA (AZ, CA, CO, NM, NV, UT)","Dicot","Forb/herb","","","","",""
"49","ABNAC","Abronia nana var. covillei","USA (CA, NV)","Dicot","Forb/herb","","","","",""
"50","ABNAH","Abronia nana var. harrisii","USA (NM, UT)","Dicot","Forb/herb","","","","",""
"51","ABNAN","Abronia nana var. nana","USA (AZ, CA, CO, NV, UT)","Dicot","Forb/herb","","","","",""
"52","ABNE","Abronia neurophylla","USA (CA)","Dicot","Forb/herb","","","","",""
"53","ABPO","Abronia pogonantha","USA (CA, NV)","Dicot","Forb/herb","","","","",""
"54","ABTU","Abronia turbinata","USA (CA, NV, OR)","Dicot","Forb/herb","","","","",""
"55","ABUM","Abronia umbellata","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb, Vine","","","","",""
"56","ABUMB","Abronia umbellata ssp. breviflora","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb, Vine","","","","",""
"57","ABUMU","Abronia umbellata ssp. umbellata","USA (CA)","Dicot","Forb/herb","","","","",""
"58","ABVI","Abronia villosa","USA (AZ, CA, NV, UT)","Dicot","Forb/herb","","","","",""
"59","ABVIA","Abronia villosa var. aurita","USA (AZ, CA)","Dicot","Forb/herb","","","","",""
"60","ABVIV","Abronia villosa var. villosa","USA (AZ, CA, NV, UT)","Dicot","Forb/herb","","","","",""
"61","ABRUS","Abrus","USA (AL, AR, FL, GA, HI), USA+ (PR, VI)","Dicot","","","","","",""
"62","ABPR3","Abrus precatorius","USA (AL, AR, FL, GA, HI), USA+ (PR, VI)","Dicot","Vine","","","","",""
"63","ABUTI","Abutilon","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","","","","","",""
"64","ABAB","Abutilon abutiloides","USA (AZ, TX), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","",""
"65","ABAU","Abutilon auritum","USA (HI)","Dicot","Subshrub, Shrub","","","","",""
"66","ABBE","Abutilon berlandieri","USA (TX)","Dicot","Shrub","","","","",""
"67","ABER","Abutilon eremitopetalum","USA (HI)","Dicot","Shrub","","","","",""
"68","ABFR3","Abutilon fruticosum","USA (AR, OK, TX)","Dicot","Subshrub","","","","",""
"69","ABGR3","Abutilon grandifolium","USA (HI, UM)","Dicot","Shrub","","","","",""
"70","ABHI","Abutilon hirtum","USA (FL), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","",""
"71","ABHU","Abutilon hulseanum","USA (FL, LA, TX), USA+ (PR)","Dicot","Subshrub, Forb/herb","","","","",""
"72","ABHY","Abutilon hypoleucum","USA (TX)","Dicot","Subshrub, Shrub","","","","",""
"73","ABIN","Abutilon incanum","USA (AZ, CO, HI, NM)","Dicot","Subshrub, Forb/herb","","","","",""
"74","ABIN3","Abutilon indicum","USA (HI, MP, UM), USA+ (PR, VI)","Dicot","Subshrub, Shrub","","","","",""
"75","ABMA3","Abutilon malacum","USA (AZ, NM, TX)","Dicot","Subshrub, Forb/herb","","","","",""
"76","ABME2","Abutilon menziesii","USA (HI)","Dicot","Shrub","","","","",""
"77","ABMO2","Abutilon mollicomum","USA (AZ, NM, TX)","Dicot","Subshrub, Shrub, Forb/herb","","","","",""
"78","ABPA","Abutilon palmeri","USA (AZ, CA)","Dicot","Shrub, Subshrub","","","","",""
"79","ABPA2","Abutilon parishii","USA (AZ)","Dicot","Subshrub, Shrub, Forb/herb","","","","",""
"80","ABPA3","Abutilon parvulum","USA (AZ, CA, CO, NM, NV, TX, UT)","Dicot","Subshrub, Forb/herb","","","","",""
"81","ABPE","Abutilon permolle","USA (FL), USA+ (PR)","Dicot","Subshrub, Forb/herb","","","","",""
"82","ABRE","Abutilon reventum","USA (AZ)","Dicot","Subshrub, Forb/herb","","","","",""
"83","ABSA2","Abutilon sandwicense","USA (HI)","Dicot","Shrub","","","","",""
"84","ABTH","Abutilon theophrasti","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","Forb/herb","","","","",""
"85","ABTH2","Abutilon thurberi","USA (AZ)","Dicot","Subshrub, Forb/herb","","","","",""
"86","ABTR","Abutilon trisulcatum","USA (TX)","Dicot","Subshrub, Shrub","","","","",""
"87","ABWR","Abutilon wrightii","USA (NM, TX)","Dicot","Subshrub, Forb/herb","","","","",""
"88","ACACI","Acacia","USA (AL, AR, AZ, CA, FL, GA, HI, KS, LA, MD, MO, MS, NM, NV, OK, OR, TX, UM, UT, VA), USA+ (PR, VI)","Dicot","","","","","",""
"89","ACAN10","Acacia aneura","USA (HI)","Dicot","Tree, Shrub","","","","",""
"90","ACAU","Acacia auriculiformis","USA (FL)","Dicot","Tree, Shrub","","","","",""
"91","ACBA","Acacia baileyana","USA (CA)","Dicot","Tree, Shrub","","","","",""
"92","ACCO","Acacia confusa","USA (HI)","Dicot","Tree","","","","",""
"93","ACCY2","Acacia cyclops","USA (CA)","Dicot","Shrub","Yellow","Dark Green","Fine","Black","Semi-Erect"
"94","ACDE3","Acacia dealbata","USA (CA, OR)","Dicot","Tree, Shrub","","","","",""
"95","ACDE","Acacia decurrens","USA (CA)","Dicot","Tree","","","","",""
"96","ACEL","Acacia elata","USA (CA)","Dicot","Tree","","","","",""
"97","ACKO","Acacia koa","USA (HI)","Dicot","Tree","Yellow","Green","Medium","Brown","Erect"
"98","ACKO2","Acacia koaia","USA (HI)","Dicot","Tree","Yellow","Green","Fine","Yellow","Rounded"
"99","ACLO","Acacia longifolia","USA (CA)","Dicot","Tree, Shrub","Yellow","Green","Fine","Brown","Semi-Erect"
"100","ACME80","Acacia mearnsii","USA (CA, HI)","Dicot","Tree, Shrub","","","","",""
"101","ACME","Acacia melanoxylon","USA (CA, HI)","Dicot","Tree","White","Dark Green","Fine","Brown","Erect"
"102","ACPA8","Acacia paradoxa","USA (CA)","Dicot","Shrub","","","","",""
"103","ACPA81","Acacia parramattensis","USA (HI)","Dicot","Tree","","","","",""
"104","ACPO2","Acacia podalyriifolia","USA (CA)","Dicot","Tree","","","","",""
"105","ACPY3","Acacia pycnantha","USA (CA)","Dicot","Tree, Shrub","","","","",""
"106","ACRE9","Acacia redolens","USA (AZ, CA)","Dicot","Shrub","","","","",""
"107","ACRE2","Acacia retinodes","USA (CA, FL)","Dicot","Tree, Shrub","","","","",""
"108","ACSA","Acacia saligna","USA (CA)","Dicot","Tree, Shrub","","","","",""
"109","ACVE2","Acacia verticillata","USA (CA)","Dicot","Tree, Shrub","","","","",""
"110","ACAEN","Acaena","USA (CA, HI, OR)","Dicot","","","","","",""
"111","ACEX","Acaena exigua","USA (HI)","Dicot","Forb/herb","","","","",""
"112","ACNO7","Acaena novae-zelandiae","USA (CA, OR)","Dicot","Forb/herb","","","","",""
"113","ACPA14","Acaena pallida","USA (CA)","Dicot","Forb/herb","","","","",""
"114","ACPI3","Acaena pinnatifida","USA (CA)","Dicot","Forb/herb","","","","",""
"115","ACPIC2","Acaena pinnatifida var. californica","USA (CA)","Dicot","Forb/herb","","","","",""
"116","ACALY","Acalypha","USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, GU, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, SD, TN, TX, UM, VA, VT, WI, WV), USA+ (PR, VI), CAN (NB, NS, ON, QC)","Dicot","","","","","",""
"117","ACAL2","Acalypha alopecuroidea","USA (AL, FL, LA), USA+ (PR)","Dicot","Forb/herb","","","","",""
"118","ACAR16","Acalypha arvensis","USA (FL)","Dicot","Forb/herb","","","","",""
"119","ACAU6","Acalypha australis","USA (NJ, NY)","Dicot","Forb/herb","","","","",""
"120","ACCA3","Acalypha californica","USA (AZ, CA)","Dicot","Shrub, Subshrub","","","","",""
"121","ACCH2","Acalypha chamaedryfolia","USA (FL), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","",""
"122","ACDE4","Acalypha deamii","USA (AR, IA, IL, IN, KS, KY, MO, OH, PA, TN, VA)","Dicot","Forb/herb","","","","",""
"123","ACGR2","Acalypha gracilens","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Forb/herb","","","","",""
"124","ACME7","Acalypha mexicana","USA (AZ)","Dicot","Forb/herb","","","","",""
"125","ACMO4","Acalypha monococca","USA (AR, IL, KS, LA, MO, OK, TX)","Dicot","Forb/herb","","","","",""
"126","ACMO","Acalypha monostachya","USA (TX)","Dicot","Subshrub, Forb/herb","","","","",""
"127","ACNE","Acalypha neomexicana","USA (AZ, NM, TX)","Dicot","Forb/herb","","","","",""
"128","ACOS","Acalypha ostryifolia","USA (AL, AR, AZ, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WV), USA+ (PR, VI)","Dicot","Forb/herb","","","","",""
"129","ACPH3","Acalypha phleoides","USA (AZ, NM, TX)","Dicot","Forb/herb, Subshrub","","","","",""
"130","ACPO","Acalypha poiretii","USA (AL, NJ, TX), USA+ (PR, VI)","Dicot","Forb/herb, Subshrub","","","","",""
"131","ACRA","Acalypha radians","USA (TX)","Dicot","Forb/herb","","","","",""
"132","ACRH","Acalypha rhomboidea","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (NB, NS, ON, QC)","Dicot","Forb/herb","","","","",""
"133","ACSE","Acalypha setosa","USA (AL, FL, GA, LA, MS, SC), USA+ (PR)","Dicot","Forb/herb","","","","",""
"134","ACVI","Acalypha virginica","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)","Dicot","Forb/herb","Red","Green","Coarse","Red","Erect"
"135","ACAMP","Acamptopappus","USA (AZ, CA, NV, UT)","Dicot","","","","","",""
"136","ACSH","Acamptopappus shockleyi","USA (CA, NV)","Dicot","Subshrub","","","","",""
"137","ACSP","Acamptopappus sphaerocephalus","USA (AZ, CA, NV, UT)","Dicot","Subshrub, Shrub","","","","",""
"138","ACSPH","Acamptopappus sphaerocephalus var. hirtellus","USA (AZ, CA, NV)","Dicot","Subshrub, Shrub","","","","",""
"139","ACSPS2","Acamptopappus sphaerocephalus var. sphaerocephalus","USA (AZ, CA, NV, UT)","Dicot","Subshrub, Shrub","","","","",""
"140","ACANT6","Acanthocereus","USA (FL, HI, TX), USA+ (VI)","Dicot","","","","","",""
"141","ACTE4","Acanthocereus tetragonus","USA (FL, HI, TX), USA+ (VI)","Dicot","Vine, Shrub","","","","",""
"142","ACANT2","Acanthomintha","USA (CA)","Dicot","","","","","",""
"143","ACDU2","Acanthomintha duttonii","USA (CA)","Dicot","Forb/herb","","","","",""
"144","ACIL","Acanthomintha ilicifolia","USA (CA)","Dicot","Forb/herb","","","","",""
"145","ACLA2","Acanthomintha lanceolata","USA (CA)","Dicot","Forb/herb","","","","",""
"146","ACOB","Acanthomintha obovata","USA (CA)","Dicot","Forb/herb","","","","",""
"147","ACOBC","Acanthomintha obovata ssp. cordata","USA (CA)","Dicot","Forb/herb","","","","",""
"148","ACOBO","Acanthomintha obovata ssp. obovata","USA (CA)","Dicot","Forb/herb","","","","",""
"149","ACANT3","Acanthospermum","USA (AL, AR, FL, GA, HI, LA, MA, MS, NC, NJ, NY, OR, PA, SC, TN, TX, VA), USA+ (PR, VI), CAN (ON)","Dicot","","","","","",""
"150","ACAU2","Acanthospermum australe","USA (AL, AR, FL, GA, HI, LA, MA, MS, NC, NY, OR, PA, SC, TN, TX, VA)","Dicot","Forb/herb","","","","",""
"151","ACHI","Acanthospermum hispidum","USA (AL, FL, GA, HI, NJ, NY, OR, SC, VA), USA+ (PR, VI), CAN (ON)","Dicot","Forb/herb","","","","",""
"152","ACHU","Acanthospermum humile","USA (AL, FL, NY, SC)","Dicot","Forb/herb","","","","",""
"153","ACANT7","Acanthus","USA (CA)","Dicot","","","","","",""
"154","ACMO8","Acanthus mollis","USA (CA)","Dicot","Forb/herb","","","","",""
"155","ACARO2","Acarospora","USA (AK, AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT)","Lichen","","","","","",""
"156","ACSC5","Acarospora schleicheri","USA (ID, NV)","Lichen","Lichenous","","","","",""
"157","ACAUL","Acaulon","USA (NY)","Moss","","","","","",""
"158","ACMU5","Acaulon muticum","USA (NY)","Moss","Nonvascular","","","","",""
"159","ACER","Acer","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)","Dicot","","","","","",""
"160","ACCA5","Acer campestre","USA (CA, IN, KY, MA, NJ, NY, OH, PA), CAN (ON)","Dicot","Tree, Shrub","","","","",""
"161","ACCI","Acer circinatum","USA (AK, CA, OR, WA), CAN (BC)","Dicot","Tree, Shrub, Vine","Green","Green","Medium","Brown","Erect"
"162","ACFL","Acer floridanum","USA (AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)","Dicot","Tree","","","","",""
"163","ACFR","Acer ×freemanii","USA (KY, ME, NC, NY, OH, WI), CAN (ON, QC)","Dicot","Tree","","","","",""
"164","ACGI","Acer ginnala","USA (CT, IA, IL, KY, MA, ME, MI, MN, ND, NH, NJ, NY, OH, PA, VT, WI), CAN (MB, NB, ON, SK)","Dicot","Tree, Shrub","White","Green","Medium","Brown","Rounded"
"165","ACGL","Acer glabrum","USA (AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)","Dicot","Tree, Shrub","Green","Green","Coarse","Brown","Erect"
"166","ACGLD3","Acer glabrum var. diffusum","USA (AZ, CA, NV, UT)","Dicot","Tree, Shrub","","","","",""
"167","ACGLD4","Acer glabrum var. douglasii","USA (AK, CA, ID, MT, NV, OR, WA, WY), CAN (AB, BC)","Dicot","Tree, Shrub","Green","Green","Coarse","Brown","Erect"
"168","ACGLG2","Acer glabrum var. glabrum","USA (AZ, CO, ID, MT, NE, NM, NV, SD, UT, WY)","Dicot","Tree, Shrub","","","","",""
"169","ACGLG","Acer glabrum var. greenei","USA (CA)","Dicot","Tree, Shrub","","","","",""
"170","ACGLN2","Acer glabrum var. neomexicanum","USA (AZ, CO, NM, UT)","Dicot","Tree, Shrub","","","","",""
"171","ACGLT2","Acer glabrum var. torreyi","USA (CA, NV, OR)","Dicot","Tree, Shrub","","","","",""
"172","ACGR3","Acer grandidentatum","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)","Dicot","Tree, Shrub","Yellow","Green","Medium","Brown","Erect"
"173","ACGRG","Acer grandidentatum var. grandidentatum","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WY)","Dicot","Tree, Shrub","","","","",""
"174","ACGRS","Acer grandidentatum var. sinuosum","USA (AZ, NM, TX)","Dicot","Tree, Shrub","","","","",""
"175","ACJA2","Acer japonicum","USA (NJ), CAN (ON)","Dicot","Tree","","","","",""
"176","ACLE","Acer leucoderme","USA (AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX)","Dicot","Tree, Shrub","","","","",""
"177","ACMA3","Acer macrophyllum","USA (CA, OR, WA), CAN (BC)","Dicot","Tree","Yellow","Green","Medium","Brown","Erect"
"178","ACNE2","Acer negundo","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Dicot","Tree","White","Green","Coarse","Brown","Erect"
"179","ACNEA","Acer negundo var. arizonicum","USA (AZ, NM)","Dicot","Tree","","","","",""
"180","ACNEC2","Acer negundo var. californicum","USA (CA)","Dicot","Tree","","","","",""
"181","ACNEI2","Acer negundo var. interius","USA (AZ, CA, CO, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, SD, UT, WA, WI, WY)","Dicot","Tree","","","","",""
"182","ACNEN","Acer negundo var. negundo","USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Dicot","Tree","","","","",""
"183","ACNET","Acer negundo var. texanum","USA (AL, AR, IN, KS, KY, LA, MO, MS, NC, NM, OK, TN, TX, VA)","Dicot","Tree","","","","",""
"184","ACNEV","Acer negundo var. violaceum","USA (CO, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, OK, RI, SD, WA, WI, WY)","Dicot","Tree","","","","",""
"185","ACNI5","Acer nigrum","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree","Yellow","Green","Medium","Brown","Erect"
"186","ACPA2","Acer palmatum","USA (CT, DC, DE, NJ, NY, OH, PA), CAN (ON)","Dicot","Tree, Shrub","","","","",""
"187","ACPE","Acer pensylvanicum","USA (CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)","Dicot","Tree, Shrub","Yellow","Green","Medium","Brown","Erect"
"188","ACPL","Acer platanoides","USA (CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, PE, QC)","Dicot","Tree","Green","Green","Medium","Brown","Rounded"
"189","ACPS","Acer pseudoplatanus","USA (CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI), CAN (BC, NB, NS, ON)","Dicot","Tree","Green","Yellow-Green","Coarse","Green","Erect"
