plant_id,name,pattern,color_flower,color_foliage,texture_foliage,color_fruit,shape,url
FEB2,Festuca brevissima,Monocot,,,,,,NULL
FEB7,Festuca brevipila,Monocot,,,,,,NULL
ABAB,Abutilon abutiloides,Dicot,,,,,,NULL
ABAB70,Abietinella abietina,Moss,,,,,,http://plants.usda.gov/gallery/standard/abab70_001_shp.jpg
ABAL,Abronia alpina,Dicot,,,,,,NULL
ABAL3,Abies alba,Gymnosperm,,,,,,http://plants.usda.gov/gallery/standard/abal3_001_shp.jpg
ABAM,Abies amabilis,Gymnosperm,Yellow,Gray-Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/standard/abam_001_shp.jpg
ABAM2,Abronia ameliae,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abam2_001_shp.jpg
ABAM3,Abronia ammophila,Dicot,,,,,,NULL
ABAN,Abronia angustifolia,Dicot,,,,,,http://plants.usda.gov/gallery/standard/aban_001_shp.jpg
ABAR,Abronia argillosa,Dicot,,,,,,NULL
ABAU,Abutilon auritum,Dicot,,,,,,NULL
ABBA,Abies balsamea,Gymnosperm,Yellow,Green,Medium,Brown,Conical,NULL
ABBAB,Abies balsamea var. balsamea,Gymnosperm,,,,,,NULL
ABBAP,Abies balsamea var. phanerolepis,Gymnosperm,,,,,,NULL
ABBE,Abutilon berlandieri,Dicot,,,,,,NULL
ABBI,Abronia bigelovii,Dicot,,,,,,NULL
ABBO,Abronia bolackii,Dicot,,,,,,NULL
ABBR,Abies bracteata,Gymnosperm,,,,,,http://plants.usda.gov/gallery/standard/abbr_001_shp.jpg
ABCA,Abronia carletonii,Dicot,,,,,,NULL
ABCO,Abies concolor,Gymnosperm,Red,Green,Medium,Brown,Conical,http://plants.usda.gov/gallery/standard/abco_001_shp.jpg
ABEL,Abronia elliptica,Dicot,,,,,,NULL
ABELI,Abelia,Dicot,,,,,,NULL
ABELM,Abelmoschus,Dicot,,,,,,NULL
ABER,Abutilon eremitopetalum,Dicot,,,,,,NULL
ABES,Abelmoschus esculentus,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abes_001_shp.jpg
ABFI,Abies firma,Gymnosperm,,,,,,NULL
ABFR,Abies fraseri,Gymnosperm,Purple,Dark Green,Medium,Brown,Erect,NULL
ABFR2,Abronia fragrans,Dicot,,,,,,NULL
ABFR3,Abutilon fruticosum,Dicot,,,,,,NULL
ABGR,Abies grandis,Gymnosperm,,Green,Medium,Brown,Conical,http://plants.usda.gov/gallery/standard/abgr_001_shp.jpg
ABGR2,Abronia gracilis,Dicot,,,,,,NULL
ABGR3,Abutilon grandifolium,Dicot,,,,,,NULL
ABGR4,Abelia í„grandiflora,Dicot,Purple,Dark Green,Medium,Brown,Semi-Erect,http://plants.usda.gov/gallery/pubs/abgr4_001_pvp.jpg
ABHI,Abutilon hirtum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abhi_001_shp.jpg
ABHO,Abies homolepis,Gymnosperm,,,,,,NULL
ABHU,Abutilon hulseanum,Dicot,,,,,,NULL
ABHY,Abutilon hypoleucum,Dicot,,,,,,NULL
ABIES,Abies,Gymnosperm,,,,,,http://plants.usda.gov/gallery/standard/abies_001_shp.jpg
ABIET,Abietinella,Moss,,,,,,NULL
ABILD,Abildgaardia,Monocot,,,,,,NULL
ABIN,Abutilon incanum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abin_001_shp.jpg
ABIN2,Abronia insularis,Dicot,,,,,,NULL
ABIN3,Abutilon indicum,Dicot,,,,,,NULL
ABLA,Abies lasiocarpa,Gymnosperm,,Green,Medium,Brown,Conical,http://plants.usda.gov/gallery/standard/abla_001_shp.jpg
ABLA2,Abronia latifolia,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abla2_001_shp.jpg
ABLAA,Abies lasiocarpa var. arizonica,Gymnosperm,,,,,,http://plants.usda.gov/gallery/standard/ablaa_001_shp.jpg
ABLAL,Abies lasiocarpa var. lasiocarpa,Gymnosperm,,,,,,http://plants.usda.gov/gallery/pubs/ablal_001_pvp.jpg
ABLO,Abies lowiana,Gymnosperm,,,,,,NULL
ABMA,Abies magnifica,Gymnosperm,Brown,Dark Green,Medium,Brown,Erect,NULL
ABMA2,Abronia maritima,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abma2_001_shp.jpg
ABMA3,Abutilon malacum,Dicot,,,,,,NULL
ABMA5,Abronia macrocarpa,Dicot,,,,,,NULL
ABMAM,Abies magnifica var. magnifica,Gymnosperm,,,,,,NULL
ABMAS,Abies magnifica var. shastensis,Gymnosperm,,,,,,NULL
ABME,Abronia mellifera,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abme_001_shp.jpg
ABME2,Abutilon menziesii,Dicot,,,,,,NULL
ABMI2,Abronia minor,Dicot,,,,,,NULL
ABMO,Abelmoschus moschatus,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/abmo_001_pvp.jpg
ABMO2,Abutilon mollicomum,Dicot,,,,,,NULL
ABNA,Abronia nana,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abna_001_shp.jpg
ABNAC,Abronia nana var. covillei,Dicot,,,,,,NULL
ABNAH,Abronia nana var. harrisii,Dicot,,,,,,NULL
ABNAN,Abronia nana var. nana,Dicot,,,,,,NULL
ABNE,Abronia neurophylla,Dicot,,,,,,NULL
ABOV,Abildgaardia ovata,Monocot,,,,,,NULL
ABPA,Abutilon palmeri,Dicot,,,,,,NULL
ABPA2,Abutilon parishii,Dicot,,,,,,NULL
ABPA3,Abutilon parvulum,Dicot,,,,,,NULL
ABPE,Abutilon permolle,Dicot,,,,,,NULL
ABPO,Abronia pogonantha,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abpo_001_shp.jpg
ABPR,Abies procera,Gymnosperm,,Dark Green,Medium,Purple,Erect,http://plants.usda.gov/gallery/standard/abpr_001_shp.jpg
ABPR3,Abrus precatorius,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abpr3_001_shp.jpg
ABRE,Abutilon reventum,Dicot,,,,,,NULL
ABRON,Abronia,Dicot,,,,,,NULL
ABRUS,Abrus,Dicot,,,,,,NULL
ABSA2,Abutilon sandwicense,Dicot,,,,,,NULL
ABTH,Abutilon theophrasti,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/abth_001_pvp.jpg
ABTH2,Abutilon thurberi,Dicot,,,,,,NULL
ABTR,Abutilon trisulcatum,Dicot,,,,,,NULL
ABTU,Abronia turbinata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abtu_001_shp.jpg
ABUM,Abronia umbellata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abum_001_shp.jpg
ABUMB,Abronia umbellata ssp. breviflora,Dicot,,,,,,NULL
ABUMU,Abronia umbellata ssp. umbellata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abumu_001_shp.jpg
ABUTI,Abutilon,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abuti_001_shp.jpg
ABVI,Abronia villosa,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abvi_001_shp.jpg
ABVIA,Abronia villosa var. aurita,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abvia_001_shp.jpg
ABVIV,Abronia villosa var. villosa,Dicot,,,,,,http://plants.usda.gov/gallery/standard/abviv_001_shp.jpg
ABWR,Abutilon wrightii,Dicot,,,,,,NULL
ACAC,Acleisanthes acutifolia,Dicot,,,,,,NULL
ACACI,Acacia,Dicot,,,,,,NULL
ACAEN,Acaena,Dicot,,,,,,NULL
ACAG3,Achillea ageratum,Dicot,,,,,,NULL
ACAL2,Acalypha alopecuroidea,Dicot,,,,,,NULL
ACALY,Acalypha,Dicot,,,,,,NULL
ACAM,Acorus americanus,Monocot,Yellow,Green,Medium,Green,Erect,http://plants.usda.gov/gallery/pubs/acam_001_pvp.jpg
ACAMP,Acamptopappus,Dicot,,,,,,NULL
ACAN10,Acacia aneura,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acan10_001_shp.jpg
ACAN2,Acleisanthes anisophylla,Dicot,,,,,,NULL
ACANT2,Acanthomintha,Dicot,,,,,,NULL
ACANT3,Acanthospermum,Dicot,,,,,,NULL
ACANT6,Acanthocereus,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acant6_001_shp.jpg
ACANT7,Acanthus,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acant7_001_shp.jpg
ACAR10,Actinidia arguta,Dicot,,,,,,NULL
ACAR14,Achnatherum aridum,Monocot,,,,,,NULL
ACAR16,Acalypha arvensis,Dicot,,,,,,NULL
ACAR18,Actaea arizonica,Dicot,,,,,,NULL
ACAR2,Acinos arvensis,Dicot,,,,,,NULL
ACARO2,Acarospora,Lichen,,,,,,NULL
ACAS,Achyranthes aspera,Dicot,,,,,,NULL
ACASA,Achyranthes aspera var. aspera,Dicot,,,,,,NULL
ACASP,Achyranthes aspera var. pubescens,Dicot,,,,,,NULL
ACAU,Acacia auriculiformis,Dicot,,,,,,NULL
ACAU2,Acanthospermum australe,Dicot,,,,,,NULL
ACAU3,Acrostichum aureum,Fern,,,,,,http://plants.usda.gov/gallery/standard/acau3_001_shp.jpg
ACAU6,Acalypha australis,Dicot,,,,,,NULL
ACAUL,Acaulon,Moss,,,,,,NULL
ACBA,Acacia baileyana,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acba_001_shp.jpg
ACBL,Achnatherum í„bloomeri,Monocot,,,,,,NULL
ACBR5,Achnatherum brachychaetum,Monocot,,,,,,NULL
ACCA3,Acalypha californica,Dicot,,,,,,NULL
ACCA31,Achnatherum caudatum,Monocot,,,,,,NULL
ACCA32,í„Achnella caduca,Monocot,,,,,,NULL
ACCA34,Achnatherum capense,Monocot,,,,,,NULL
ACCA4,Acorus calamus,Monocot,Yellow,Green,Coarse,Brown,Semi-Erect,NULL
ACCA5,Acer campestre,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acca5_001_pvp.jpg
ACCA6,Achlys californica,Dicot,,,,,,NULL
ACCH2,Acalypha chamaedryfolia,Dicot,,,,,,NULL
ACCH5,Actinidia chinensis,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acch5_001_shp.jpg
ACCHD,Actinidia chinensis var. deliciosa,Dicot,,,,,,NULL
