question,question_text,answer,url
USState,Where is the plant in the US?,AK,dummyurl
USState,Where is the plant in the US?,AL,dummyurl
USState,Where is the plant in the US?,AZ,dummyurl
USState,Where is the plant in the US?,AR,dummyurl
USState,Where is the plant in the US?,CA,dummyurl
USState,Where is the plant in the US?,CO,dummyurl
USState,Where is the plant in the US?,CT,dummyurl
USState,Where is the plant in the US?,DE,dummyurl
USState,Where is the plant in the US?,FL,dummyurl
USState,Where is the plant in the US?,GA,dummyurl
USState,Where is the plant in the US?,HI,dummyurl
USState,Where is the plant in the US?,ID,dummyurl
USState,Where is the plant in the US?,IL,dummyurl
USState,Where is the plant in the US?,IN,dummyurl
USState,Where is the plant in the US?,IA,dummyurl
USState,Where is the plant in the US?,KS,dummyurl
USState,Where is the plant in the US?,KY,dummyurl
USState,Where is the plant in the US?,LA,dummyurl
USState,Where is the plant in the US?,ME,dummyurl
USState,Where is the plant in the US?,MD,dummyurl
USState,Where is the plant in the US?,MA,dummyurl
USState,Where is the plant in the US?,MI,dummyurl
USState,Where is the plant in the US?,MN,dummyurl
USState,Where is the plant in the US?,MS,dummyurl
USState,Where is the plant in the US?,MO,dummyurl
USState,Where is the plant in the US?,MT,dummyurl
USState,Where is the plant in the US?,NE,dummyurl
USState,Where is the plant in the US?,NV,dummyurl
USState,Where is the plant in the US?,NH,dummyurl
USState,Where is the plant in the US?,NJ,dummyurl
USState,Where is the plant in the US?,NM,dummyurl
USState,Where is the plant in the US?,NY,dummyurl
USState,Where is the plant in the US?,NC,dummyurl
USState,Where is the plant in the US?,ND,dummyurl
USState,Where is the plant in the US?,OH,dummyurl
USState,Where is the plant in the US?,OK,dummyurl
USState,Where is the plant in the US?,OR,dummyurl
USState,Where is the plant in the US?,PA,dummyurl
USState,Where is the plant in the US?,RI,dummyurl
USState,Where is the plant in the US?,SC,dummyurl
USState,Where is the plant in the US?,SD,dummyurl
USState,Where is the plant in the US?,TN,dummyurl
USState,Where is the plant in the US?,TX,dummyurl
USState,Where is the plant in the US?,UT,dummyurl
USState,Where is the plant in the US?,VT,dummyurl
USState,Where is the plant in the US?,VA,dummyurl
USState,Where is the plant in the US?,WA,dummyurl
USState,Where is the plant in the US?,WV,dummyurl
USState,Where is the plant in the US?,WI,dummyurl
USState,Where is the plant in the US?,WY,dummyurl
USState,Where is the plant in the US?,AS,dummyurl
USState,Where is the plant in the US?,DC,dummyurl
USState,Where is the plant in the US?,FM,dummyurl
USState,Where is the plant in the US?,GU,dummyurl
USState,Where is the plant in the US?,MH,dummyurl
USState,Where is the plant in the US?,MP,dummyurl
USState,Where is the plant in the US?,PW,dummyurl
USState,Where is the plant in the US?,PR,dummyurl
USState,Where is the plant in the US?,VI,dummyurl
Type,What type of plant is it?,Shrub,./pictures/type/shrub.jpg
