"Accepted Symbol","Synonym Symbol","Scientific Name","State and Province","Category","Growth Habit","Image Gallery","Characteristics Data","Flower Color","Foliage Color","Foliage Texture","Fruit Color","Shape and Orientation"
"ABELI","","Abelia","USA (FL, NC)","Dicot","","","","","","","",""
"ABGR4","","Abelia ×grandiflora","USA (FL, NC)","Dicot","Shrub","Photo","Yes","Purple","Dark Green","Medium","Brown","Semi-Erect"
"ABELM","","Abelmoschus","USA (CT, DC, FL, HI, IL, KY, LA, MD, MI, MS, NC, SC, VA), USA+ (PR, VI)","Dicot","","","","","","","",""
"ABES","","Abelmoschus esculentus","USA (CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, SC, VA), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"ABMO","","Abelmoschus moschatus","USA (HI), USA+ (PR)","Dicot","Subshrub, Shrub","Photo","","","","","",""
"ABIES","","Abies","USA (AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Gymnosperm","","Photo","","","","","",""
"ABAL3","","Abies alba","USA (NC)","Gymnosperm","Tree","Photo","","","","","",""
"ABAM","","Abies amabilis","USA (AK, CA, OR, WA), CAN (BC)","Gymnosperm","Tree","Photo","Yes","Yellow","Gray-Green","Medium","Brown","Erect"
"ABBA","","Abies balsamea","USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Gymnosperm","Tree","Photo","Yes","Yellow","Green","Medium","Brown","Conical"
"ABBAB","","Abies balsamea var. balsamea","USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Gymnosperm","Tree","","","","","","",""
"ABBAP","","Abies balsamea var. phanerolepis","USA (ME, NH, VA, VT, WV), CAN (NB, NF, NS, ON, PE, QC)","Gymnosperm","Tree","","","","","","",""
"ABBR","","Abies bracteata","USA (CA)","Gymnosperm","Tree","Photo","","","","","",""
"ABCO","","Abies concolor","USA (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)","Gymnosperm","Tree","Photo","Yes","Red","Green","Medium","Brown","Conical"
"ABFI","","Abies firma","USA (NC)","Gymnosperm","Tree","","","","","","",""
"ABFR","","Abies fraseri","USA (GA, NC, TN, VA)","Gymnosperm","Tree","Photo","Yes","Purple","Dark Green","Medium","Brown","Erect"
"ABGR","","Abies grandis","USA (CA, ID, MT, OR, WA), CAN (BC)","Gymnosperm","Tree","Photo","Yes","","Green","Medium","Brown","Conical"
"ABHO","","Abies homolepis","USA (NY)","Gymnosperm","Tree","","","","","","",""
"ABLA","","Abies lasiocarpa","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Gymnosperm","Tree","Photo","Yes","","Green","Medium","Brown","Conical"
"ABLAA","","Abies lasiocarpa var. arizonica","USA (AZ, CO, NM)","Gymnosperm","Tree","Photo","","","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Gymnosperm","Tree","Photo","","","","","",""
"ABLO","","Abies lowiana","USA (CA, NV, OR)","Gymnosperm","Tree","","","","","","",""
