plant_id,type
ABES,"Subshrub, Forb/herb"
ABAL,Forb/herb
ABAM2,Forb/herb
ABAM3,Forb/herb
ABAN,Forb/herb
ABAR,Forb/herb
ABBI,Forb/herb
ABBO,Forb/herb
ABCA,Forb/herb
ABEL,Forb/herb
ABFR2,Forb/herb
ABGR2,Forb/herb
ABIN2,Forb/herb
ABLA2,Forb/herb
ABMA5,Forb/herb
ABMA2,Forb/herb
ABME,Forb/herb
ABMI2,Forb/herb
ABNA,Forb/herb
ABNAC,Forb/herb
ABNAH,Forb/herb
ABNAN,Forb/herb
ABNE,Forb/herb
ABPO,Forb/herb
ABTU,Forb/herb
ABUM,"Forb/herb, Vine"
ABUMB,"Forb/herb, Vine"
ABUMU,Forb/herb
ABVI,Forb/herb
ABVIA,Forb/herb
ABVIV,Forb/herb
ABAB,"Subshrub, Forb/herb"
ABHI,"Subshrub, Forb/herb"
ABHU,"Subshrub, Forb/herb"
ABIN,"Subshrub, Forb/herb"
ABMA3,"Subshrub, Forb/herb"
ABMO2,"Subshrub, Shrub, Forb/herb"
ABPA2,"Subshrub, Shrub, Forb/herb"
ABPA3,"Subshrub, Forb/herb"
ABPE,"Subshrub, Forb/herb"
ABRE,"Subshrub, Forb/herb"
ABTH,Forb/herb
ABTH2,"Subshrub, Forb/herb"
ABWR,"Subshrub, Forb/herb"
ACEX,Forb/herb
ACNO7,Forb/herb
ACPA14,Forb/herb
ACPI3,Forb/herb
ACPIC2,Forb/herb
ACAL2,Forb/herb
ACAR16,Forb/herb
ACAU6,Forb/herb
ACCH2,"Subshrub, Forb/herb"
ACDE4,Forb/herb
ACGR2,Forb/herb
ACME7,Forb/herb
ACMO4,Forb/herb
ACMO,"Subshrub, Forb/herb"
ACNE,Forb/herb
ACOS,Forb/herb
ACPH3,"Forb/herb, Subshrub"
ACPO,"Forb/herb, Subshrub"
ACRA,Forb/herb
ACRH,Forb/herb
ACSE,Forb/herb
ACVI,Forb/herb
ACDU2,Forb/herb
ACIL,Forb/herb
ACLA2,Forb/herb
ACOB,Forb/herb
ACOBC,Forb/herb
ACOBO,Forb/herb
ACAU2,Forb/herb
ACHI,Forb/herb
ACHU,Forb/herb
ACMO8,Forb/herb
ACAG3,Forb/herb
ACDI6,Forb/herb
ACFI,Forb/herb
ACLI2,Forb/herb
ACMI2,Forb/herb
ACMIA,Forb/herb
ACMIA2,Forb/herb
ACMIB,Forb/herb
ACMIC,Forb/herb
ACMIG,Forb/herb
ACMIL2,Forb/herb
ACMIM2,Forb/herb
ACMIN,Forb/herb
ACMIO,Forb/herb
ACMIP,Forb/herb
ACMIP2,Forb/herb
ACNO,Forb/herb
ACPT,Forb/herb
ACSI,Forb/herb
ACCA6,Forb/herb
ACTR,Forb/herb
ACMO2,Forb/herb
ACAS,"Subshrub, Forb/herb"
ACASA,"Subshrub, Forb/herb"
ACASP,"Subshrub, Forb/herb"
ACJA,Forb/herb
ACJAH,Forb/herb
ACCO3,Forb/herb
ACTR2,Forb/herb
ACAR2,Forb/herb
ACAC,"Subshrub, Forb/herb"
ACAN2,"Subshrub, Forb/herb"
ACCR,"Subshrub, Forb/herb"
ACLO2,"Subshrub, Forb/herb"
ACOB2,"Vine, Forb/herb"
ACWR3,"Subshrub, Forb/herb"
ACDE5,Forb/herb
ACOP,Forb/herb
ACOPR,Forb/herb
ACPI4,Forb/herb
ACPU,Forb/herb
ACCO4,Forb/herb
ACCOC3,Forb/herb
ACCOV2,Forb/herb
ACDE2,Forb/herb
ACDEC,Forb/herb
ACDED3,Forb/herb
ACDEP,Forb/herb
ACIN2,Forb/herb
ACMA4,Forb/herb
ACNA,Forb/herb
ACNO2,Forb/herb
ACRE,Forb/herb
ACUN,Forb/herb
ACUNM,Forb/herb
ACUNU,Forb/herb
ACAM,Forb/herb
ACCA4,Forb/herb
ACMI3,"Subshrub, Forb/herb"
ACNA2,Forb/herb
ACRU3,Forb/herb
